date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:26	280/280	---M--	200	added ('OK')	image/png	etag:%229afe9dee546e7f45fd014b2340bc4139%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/shop/45466e57c209beb25da10b91666d85ff.png	C:/My%20Web%20Sites/rumahundangan/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/shop/45466e57c209beb25da10b91666d85ff.png	(from https://shopee.co.id/rumahundangan.id)
08:01:33	255166/255166	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2000:01:27%20GMT	https://shopee.co.id/shop/171360026/details	C:/My%20Web%20Sites/rumahundangan/shopee.co.id/shop/171360026/details.html	(from https://shopee.co.id/rumahundangan.id)
08:02:10	13384/13384	---M--	200	added ('OK')	font/woff2	etag:%226475fcbe-3448%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/975AgencyFB-Bold.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/975AgencyFB-Bold.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:10	18092/18092	---M--	200	added ('OK')	font/woff	etag:%226475fcbf-46ac%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/975AgencyFB-Bold.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/975AgencyFB-Bold.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:11	104524/104524	---M--	200	added ('OK')	font/woff2	etag:%226475fce2-1984c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/8148AkayaKanadaka-Regula.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/8148AkayaKanadaka-Regula.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:11	141228/141228	---M--	200	added ('OK')	font/woff	etag:%226475fce3-227ac%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/8148AkayaKanadaka-Regula.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/8148AkayaKanadaka-Regula.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:11	57064/57064	---M--	200	added ('OK')	font/woff2	etag:%226475fd1a-dee8%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/5322anydore.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/5322anydore.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:11	90488/90488	---M--	200	added ('OK')	font/woff	etag:%226475fd1b-16178%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/5322anydore.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/5322anydore.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:12	32592/32592	---M--	200	added ('OK')	font/woff2	etag:%226475fd2b-7f50%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/7662autumn.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/7662autumn.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:12	50564/50564	---M--	200	added ('OK')	font/woff	etag:%226475fd2c-c584%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/7662autumn.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/7662autumn.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:12	19600/19600	---M--	200	added ('OK')	font/woff2	etag:%226475fda1-4c90%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/2421Back-to-School.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/2421Back-to-School.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:12	22960/22960	---M--	200	added ('OK')	font/woff	etag:%226475fda2-59b0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/2421Back-to-School.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/2421Back-to-School.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:12	21972/21972	---M--	200	added ('OK')	font/woff2	etag:%226475fdaf-55d4%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/6575BebasNeue-Regular.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/6575BebasNeue-Regular.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:13	30136/30136	---M--	200	added ('OK')	font/woff	etag:%226475fdb0-75b8%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/6575BebasNeue-Regular.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/6575BebasNeue-Regular.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:13	17372/17372	---M--	200	added ('OK')	font/woff2	etag:%226475fdbf-43dc%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/9769Belisha.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/9769Belisha.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:13	69292/69292	---M--	200	added ('OK')	font/woff	etag:%226475fdc0-10eac%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/9769Belisha.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/9769Belisha.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:13	21460/21460	---M--	200	added ('OK')	font/woff2	etag:%226475fdcc-53d4%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/2772Bernardo.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/2772Bernardo.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:14	26592/26592	---M--	200	added ('OK')	font/woff	etag:%226475fdcd-67e0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/2772Bernardo.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/2772Bernardo.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:14	45692/45692	---M--	200	added ('OK')	font/woff2	etag:%226475fddb-b27c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/446Black-Rotela.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/446Black-Rotela.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:14	69788/69788	---M--	200	added ('OK')	font/woff	etag:%226475fddc-1109c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/446Black-Rotela.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/446Black-Rotela.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
